Column1,Column2,Column3,Column4,Column5,Column6,Column7
Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
10.8055601,0.435758,7.108602,6.636930,9.735037,47.018902,86.492149
10.8075647,0.440547,7.099025,6.620170,9.716835,47.053959,86.448929
10.8095665,0.469278,7.099025,6.608199,9.710030,47.113056,86.217987
10.8115683,0.471672,7.110996,6.622564,9.728674,47.099575,86.205132
10.8135691,0.474066,7.096631,6.627353,9.721560,47.022034,86.178230
10.8155708,0.483644,7.096631,6.634535,9.726929,46.993671,86.101257
10.8175726,0.495615,7.103813,6.627353,9.727878,47.056698,86.009087
10.8195734,0.476461,7.084659,6.617775,9.706409,47.015972,86.152512
10.8215752,0.486038,7.110996,6.598621,9.713099,47.206909,86.089905
10.8235760,0.488432,7.113390,6.603410,9.718225,47.196419,86.072021
10.8255777,0.488432,7.106208,6.598621,9.709715,47.188416,86.068062
10.8275795,0.466884,7.122968,6.577073,9.706314,47.343018,86.249840
10.8295813,0.466884,7.110996,6.577073,9.697533,47.295197,86.243546
10.8315821,0.454912,7.122968,6.548342,9.686299,47.464905,86.345734
10.8335829,0.440547,7.144516,6.533976,9.691802,47.609840,86.471481
10.8355837,0.423787,7.134939,6.526793,9.679152,47.599056,86.600853
10.8375854,0.414210,7.154093,6.536370,9.699317,47.631207,86.686371
10.8395863,0.409421,7.163670,6.529187,9.701344,47.699512,86.728966
10.8415880,0.426181,7.154093,6.522005,9.690161,47.696758,86.590828
10.8435898,0.411815,7.170853,6.502851,9.689055,47.843792,86.713165
10.8455915,0.409421,7.170853,6.510033,9.693776,47.811775,86.732239
10.8475924,0.390267,7.175642,6.500456,9.690102,47.868477,86.886879
10.8495932,0.387873,7.173247,6.486091,9.678599,47.921539,86.904915
10.8515949,0.387873,7.173247,6.486091,9.678599,47.921539,86.904915
10.8535957,0.385478,7.178036,6.481302,9.678846,47.961040,86.926025
10.8556042,0.383084,7.175642,6.474119,9.672167,47.982647,86.944069
10.8576059,0.385478,7.170853,6.488485,9.678335,47.901028,86.922958
10.8596067,0.397450,7.166065,6.488485,9.675272,47.884636,86.825470
10.8616076,0.371113,7.163670,6.481302,9.667635,47.901100,87.034454
10.8636093,0.373507,7.161276,6.488485,9.670772,47.860523,87.014359
10.8656149,0.368718,7.149304,6.488485,9.661725,47.811962,87.047646
10.8676128,0.368718,7.154093,6.486091,9.663662,47.841526,87.049614
10.8696146,0.363930,7.151699,6.493273,9.666533,47.799484,87.086891
10.8716164,0.368718,7.149304,6.493273,9.664942,47.790932,87.047646
